reference_timestamp,Id,fkl010h0_ANT,fkl010h0_BAS,fkl010h0_DAV,fkl010h0_DOL,fkl010h0_GVE,fkl010h0_INT,fkl010h0_LUG,fkl010h0_SIO,fkl010h0_STG,fkl010h0_ZER,fkl010h3_ANT,fkl010h3_BAS,fkl010h3_DAV,fkl010h3_DOL,fkl010h3_GVE,fkl010h3_INT,fkl010h3_LUG,fkl010h3_SIO,fkl010h3_STG,fkl010h3_ZER,gre000h0_ANT,gre000h0_BAS,gre000h0_DAV,gre000h0_DOL,gre000h0_GVE,gre000h0_INT,gre000h0_LUG,gre000h0_SIO,gre000h0_STG,gre000h0_ZER,prestah0_ANT,prestah0_BAS,prestah0_DAV,prestah0_DOL,prestah0_GVE,prestah0_INT,prestah0_LUG,prestah0_SIO,prestah0_STG,prestah0_ZER,rre150h0_ANT,rre150h0_BAS,rre150h0_DAV,rre150h0_DOL,rre150h0_GVE,rre150h0_INT,rre150h0_LUG,rre150h0_SIO,rre150h0_STG,rre150h0_ZER,tre200h0_ANT,tre200h0_BAS,tre200h0_DAV,tre200h0_DOL,tre200h0_GVE,tre200h0_INT,tre200h0_LUG,tre200h0_SIO,tre200h0_STG,tre200h0_ZER,ure200h0_ANT,ure200h0_BAS,ure200h0_DAV,ure200h0_DOL,ure200h0_GVE,ure200h0_INT,ure200h0_LUG,ure200h0_SIO,ure200h0_STG,ure200h0_ZER,tre200h0_lag,tre200h0,target_tre200h0_plus12h,target_tre200h0_plus24h,target_tre200h0_plus48h
2013-01-12 11:00:00,3322,0.8,0.9,0.6,21.5,6.6,2.1,1.5,0.9,1.1,1.4,2.4,2.0,2.0,27.2,10.7,3.4,3.2,2.7,4.8,2.8,427.0,124.0,411.0,433.0,182.0,373.0,385.0,399.0,358.0,447.0,859.6,989.8,842.3,830.6,975.6,957.2,986.3,966.9,934.6,836.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.9,-4.9,-4.4,2.2,-1.6,5.5,-1.7,-2.2,-1.0,67.4,86.3,58.8,57.2,70.4,70.6,62.1,79.1,83.3,43.5,9.4,0.5,0.6,0.2,0.2
2013-01-12 17:00:00,3323,1.3,1.0,0.8,22.9,11.3,2.6,0.7,1.3,1.7,1.2,2.6,5.3,1.9,29.4,18.5,4.8,1.8,2.4,3.6,1.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,860.4,989.8,843.5,829.7,974.7,957.4,984.6,966.8,935.1,836.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.2,1.4,-8.5,-5.4,2.9,-4.8,4.3,-3.8,-2.5,-4.7,57.3,85.6,57.6,60.1,64.7,86.3,57.6,86.0,87.4,50.9,9.0,0.4,-0.1,0.7,0.0
2013-02-12 13:00:00,3415,0.9,3.6,0.3,8.5,5.3,1.5,1.0,1.1,1.3,1.2,2.2,7.5,1.7,11.0,9.2,2.7,2.3,2.4,3.9,5.7,311.0,260.0,290.0,339.0,174.0,267.0,285.0,294.0,270.0,309.0,862.4,989.6,845.6,835.5,978.0,958.5,990.5,969.3,936.1,839.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,6.8,2.2,6.8,3.6,-1.3,8.0,0.2,-0.3,8.1,65.5,58.0,51.2,19.2,63.5,72.2,45.6,70.2,67.2,26.1,16.7,2.4,-3.7,-2.0,-2.0
2013-02-12 14:00:00,3416,1.0,2.6,0.8,7.9,5.0,2.3,0.8,0.8,1.4,2.7,3.7,7.1,2.5,9.4,8.0,4.8,3.4,1.7,3.3,12.4,187.0,115.0,167.0,223.0,168.0,135.0,174.0,83.0,142.0,145.0,862.9,989.7,846.1,835.8,977.8,958.5,990.3,969.7,936.1,840.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,6.8,1.4,6.5,3.7,-1.5,8.0,0.6,-0.2,10.3,63.6,58.5,58.1,18.1,63.4,74.0,50.4,68.9,68.8,13.0,16.1,2.5,-3.8,-2.0,-2.1
2013-03-12 03:00:00,3498,0.7,1.8,1.6,5.3,0.5,2.8,1.4,1.4,0.7,1.3,1.7,5.0,2.4,7.0,1.1,3.7,2.8,3.8,2.0,1.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,866.1,990.8,849.1,839.8,980.4,960.3,995.3,973.2,936.2,845.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.7,0.2,-2.1,6.9,-4.2,-3.9,0.9,-5.7,-4.9,-1.4,75.5,83.7,43.4,14.1,89.4,92.8,70.9,91.3,91.9,42.8,10.5,-6.3,-0.9,2.2,-4.1
2013-03-12 07:00:00,3499,0.5,2.2,1.4,7.3,0.6,1.9,1.6,0.3,1.3,1.5,1.2,5.4,2.6,8.8,1.4,3.3,3.0,1.0,2.6,2.0,1.0,15.0,8.0,17.0,12.0,8.0,11.0,8.0,11.0,11.0,866.0,990.9,849.1,840.2,980.9,960.9,993.8,973.5,936.9,844.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,-0.7,-2.7,5.7,-4.1,-4.6,0.7,-6.2,-4.8,-2.1,59.7,81.6,42.8,14.3,89.5,91.8,70.1,92.5,97.0,44.3,8.0,-4.9,-4.1,0.4,-4.6
2013-04-12 04:00:00,3591,0.7,2.1,0.4,6.6,0.4,1.3,2.0,0.6,1.0,1.5,1.9,6.0,1.2,8.7,1.1,2.1,3.0,1.2,2.3,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,864.8,989.6,847.1,839.7,979.7,959.7,990.4,972.4,935.0,843.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.3,-2.5,-4.0,4.4,-1.5,-4.2,1.0,-5.3,3.9,-2.9,75.7,90.9,51.2,54.5,99.0,87.9,70.4,93.1,40.7,49.4,4.6,-6.0,-0.4,6.2,5.3
2013-04-12 22:00:00,3593,1.3,2.3,0.3,1.1,1.3,0.6,1.6,0.5,1.3,1.2,3.0,4.7,1.0,1.6,2.4,1.6,3.4,1.4,3.1,1.9,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,863.5,992.5,846.2,838.9,979.5,959.6,986.1,971.2,937.5,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.4,1.8,-2.8,3.3,-1.9,-2.3,3.5,-2.6,-0.3,-1.9,70.6,83.8,64.5,65.0,98.9,87.9,64.4,85.6,90.5,51.7,8.1,-2.5,11.7,7.7,10.4
2013-05-12 00:00:00,3681,0.8,0.6,0.3,1.3,2.0,0.7,1.1,0.5,2.8,1.2,1.9,2.1,1.1,1.9,4.1,1.6,1.9,1.3,6.2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,863.5,992.6,845.9,838.5,980.2,960.2,985.7,971.0,937.7,841.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.7,1.9,-2.6,3.3,0.0,-2.6,3.2,-4.0,-0.9,-0.9,73.3,83.3,73.2,64.5,95.7,91.1,67.6,88.8,91.4,54.0,7.7,0.3,1.1,4.2,9.0
2013-05-12 16:00:00,3682,1.0,2.9,0.2,10.2,1.6,1.8,0.7,0.4,5.8,0.8,2.7,7.8,1.2,12.6,3.6,3.9,1.8,1.4,11.7,2.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,860.0,987.2,841.8,836.3,978.8,957.9,984.3,969.5,931.6,839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,6.7,-2.1,-3.8,2.2,0.3,8.3,1.0,2.1,-1.6,85.1,69.6,55.4,100.0,83.9,85.3,69.5,81.2,78.1,53.5,4.7,-0.2,6.0,15.6,20.6
