fkl010h0_ANT,fkl010h0_BAS,fkl010h0_DAV,fkl010h0_DOL,fkl010h0_GVE,fkl010h0_INT,fkl010h0_LUG,fkl010h0_SIO,fkl010h0_STG,fkl010h0_ZER,fkl010h3_ANT,fkl010h3_BAS,fkl010h3_DAV,fkl010h3_DOL,fkl010h3_GVE,fkl010h3_INT,fkl010h3_LUG,fkl010h3_SIO,fkl010h3_STG,fkl010h3_ZER,gre000h0_ANT,gre000h0_BAS,gre000h0_DAV,gre000h0_DOL,gre000h0_GVE,gre000h0_INT,gre000h0_LUG,gre000h0_SIO,gre000h0_STG,gre000h0_ZER,pp0qffh0_BAS,pp0qffh0_GVE,pp0qffh0_INT,pp0qffh0_LUG,pp0qffh0_SIO,prestah0_ANT,prestah0_BAS,prestah0_DAV,prestah0_DOL,prestah0_GVE,prestah0_INT,prestah0_LUG,prestah0_SIO,prestah0_STG,prestah0_ZER,rre150h0_ANT,rre150h0_BAS,rre150h0_DAV,rre150h0_DOL,rre150h0_GVE,rre150h0_INT,rre150h0_LUG,rre150h0_SIO,rre150h0_STG,rre150h0_ZER,sre000h0_ANT,sre000h0_BAS,sre000h0_DAV,sre000h0_DOL,sre000h0_GVE,sre000h0_INT,sre000h0_LUG,sre000h0_SIO,sre000h0_STG,sre000h0_ZER,tre200h0_ANT,tre200h0_BAS,tre200h0_DAV,tre200h0_DOL,tre200h0_GVE,tre200h0_INT,tre200h0_LUG,tre200h0_SIO,tre200h0_STG,tre200h0_ZER,ure200h0_ANT,ure200h0_BAS,ure200h0_DAV,ure200h0_DOL,ure200h0_GVE,ure200h0_INT,ure200h0_LUG,ure200h0_SIO,ure200h0_STG,ure200h0_ZER,tre200h0,tre200h0_lag24h,target_tre200h0_plus12h,target_tre200h0_plus24h,target_tre200h0_plus48h,hour,season
1.3,2.1,0.8,8.3,1.0,0.6,0.6,0.5,3.4,0.9,3.0,4.8,2.0,11.5,2.3,1.8,1.4,1.4,8.3,2.4,66.0,47.0,71.0,21.0,39.0,36.0,81.0,73.0,34.0,75.0,1018.1,1020.1,1019.9,1018.2,1020.0,858.5,980.6,841.9,834.9,971.5,952.1,982.6,963.4,928.3,838.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,7.1,13.7,6.4,5.0,13.1,11.2,13.5,12.8,11.7,6.3,82.4,87.5,73.8,100.0,89.7,95.6,78.5,84.4,76.0,74.0,12.2,8.5,17.5,10.3,10.0,5.0,Spring
3.8,0.8,3.8,14.0,6.9,0.5,2.9,0.6,2.0,1.8,6.8,1.4,5.7,17.5,11.4,1.4,10.1,1.6,4.0,3.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1021.8,1018.7,1019.9,1010.9,1018.9,855.4,983.1,838.2,828.7,969.0,950.6,975.5,960.5,929.2,832.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,6.2,-1.2,-2.7,6.3,4.9,13.2,4.3,3.2,-0.4,93.3,91.2,93.6,88.4,70.6,91.6,36.0,87.6,96.3,67.4,4.3,8.9,12.1,1.5,6.3,3.0,Spring
1.1,2.0,0.1,10.5,2.1,1.3,1.1,1.7,0.9,1.1,2.9,3.8,0.7,12.9,4.5,3.1,2.3,2.7,2.2,2.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1039.6,1037.7,1039.3,1031.1,1037.9,864.2,998.1,846.5,837.6,984.6,964.5,992.9,975.8,941.0,840.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.6,-8.6,-18.6,-5.3,-6.2,-10.8,-2.0,-8.0,-10.6,-13.1,76.5,72.6,76.4,5.1,73.1,82.4,50.6,81.9,96.5,65.8,-12.3,-7.6,-7.1,-3.5,-2.1,0.0,Winter
0.8,3.1,1.8,9.8,1.0,1.9,0.8,0.8,0.5,0.8,1.7,7.5,4.9,12.1,3.0,3.1,1.7,1.6,1.4,1.8,355.0,168.0,311.0,194.0,170.0,254.0,311.0,180.0,250.0,190.0,1023.9,1024.9,1025.4,1027.5,1025.6,861.2,985.3,844.5,835.7,975.1,955.7,991.1,967.4,932.9,839.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,57.0,0.0,0.0,36.0,56.0,0.0,25.0,15.0,3.1,7.2,3.5,3.3,7.4,5.5,9.6,6.7,3.3,5.0,41.9,73.0,26.5,36.1,74.4,58.4,57.2,46.4,83.9,33.7,5.6,8.2,3.2,7.4,6.5,13.0,Autumn
4.4,1.6,4.3,2.9,2.2,2.8,6.3,5.4,1.0,2.8,10.0,4.0,9.4,6.9,5.4,4.9,13.6,9.5,3.4,5.9,287.0,625.0,640.0,566.0,939.0,688.0,958.0,707.0,432.0,871.0,1021.1,1020.9,1021.3,1014.3,1018.5,862.8,984.5,845.7,839.4,973.8,955.0,980.5,964.0,933.0,840.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,24.0,19.0,59.0,19.0,60.0,48.0,16.0,52.0,11.3,22.0,11.3,11.3,22.0,18.5,27.1,23.4,16.8,15.2,75.0,49.3,70.5,79.9,44.7,65.1,28.9,39.4,65.7,44.7,20.7,19.2,15.7,21.9,23.9,11.0,Summer
6.5,1.1,3.6,2.4,3.3,2.6,1.5,1.7,1.8,3.5,11.5,3.8,5.1,6.0,6.1,6.2,2.9,4.1,4.6,5.7,798.0,734.0,819.0,855.0,719.0,749.0,780.0,758.0,766.0,806.0,1016.8,1015.7,1015.6,1011.5,1014.3,859.0,980.4,842.7,835.6,968.9,950.2,977.5,959.9,929.2,837.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,60.0,15.5,21.9,15.6,15.4,22.4,20.7,25.3,23.0,18.2,15.7,69.4,63.7,52.5,74.4,64.9,66.2,45.5,56.3,82.7,53.8,20.1,18.5,16.2,21.9,22.2,10.0,Summer
5.0,3.2,2.8,8.2,2.6,5.0,1.0,7.2,0.9,1.1,10.0,11.4,4.9,16.4,8.2,18.2,2.4,16.6,1.5,3.4,16.0,3.0,17.0,10.0,11.0,19.0,42.0,11.0,24.0,14.0,1017.2,1015.8,1012.9,1013.1,1011.5,857.6,980.1,841.1,834.9,968.2,947.8,979.0,957.3,926.1,836.8,0.0,2.0,0.0,10.4,5.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,16.4,17.1,14.8,9.1,17.6,21.4,24.8,23.0,19.0,16.0,55.5,87.1,62.6,97.2,85.8,63.3,55.8,48.1,59.3,56.7,16.3,19.0,15.7,20.7,20.0,19.0,Summer
1.6,2.2,2.0,8.2,0.9,1.6,0.8,0.9,1.6,0.5,4.7,6.1,4.2,12.7,2.7,4.1,2.2,1.8,4.7,1.0,34.0,16.0,30.0,4.0,1.0,19.0,13.0,12.0,21.0,32.0,1015.8,1016.4,1017.6,1020.6,1017.5,853.7,977.2,836.3,828.1,966.7,947.9,984.1,958.9,924.5,831.8,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.2,3.2,0.4,5.4,3.4,7.2,2.3,6.9,0.6,49.5,83.7,58.8,97.7,85.0,85.3,77.8,83.8,44.4,65.5,2.9,0.6,6.2,5.1,4.8,8.0,Autumn
1.3,1.8,0.6,7.7,0.9,2.6,0.8,1.5,1.8,0.8,3.8,3.8,1.8,11.7,1.8,5.2,1.7,3.0,4.1,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1003.3,1003.9,1005.3,1003.9,1005.5,840.1,964.7,823.2,814.6,954.2,935.0,967.2,946.8,911.7,818.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.6,1.6,-10.9,-6.1,1.7,-2.8,1.3,-1.4,0.8,-8.8,73.0,94.1,78.3,98.3,96.2,90.7,95.1,90.8,68.2,56.5,0.7,3.8,1.4,-1.6,0.3,6.0,Winter
4.5,2.1,3.7,11.8,1.0,1.0,1.1,1.2,1.2,1.7,10.2,5.2,5.0,17.9,2.3,2.4,5.4,2.8,2.5,2.9,65.0,82.0,67.0,41.0,25.0,32.0,14.0,49.0,75.0,66.0,1014.2,1014.5,1015.2,1018.3,1016.5,857.1,977.1,840.7,831.7,966.6,948.5,982.9,960.5,926.5,837.4,0.0,0.0,0.0,0.6,0.7,0.2,0.5,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,15.6,11.2,8.8,15.3,14.9,15.5,15.5,13.7,8.8,77.2,95.0,75.1,97.4,91.7,95.1,99.3,91.9,91.4,96.3,16.2,17.0,13.2,18.6,17.7,15.0,Autumn
